jds,mags,magerrs,flxs,fluxerr
2458899.643,13.6415184,0.2042136555,46.06728737286403,10922310.984865768
2458900.637,14.01597973,0.3597996263,32.62932637726073,9464118.06493108
2458906.627,13.71318368,0.3333314124,43.1247438013111,9697670.74862266
2458909.625,13.80494701,0.2627129576,39.62973753121168,10349391.525649553
2458912.635,13.55106281,0.1671374319,50.069686941455686,11301732.589660736
2458913.649,13.74616715,0.2755309316,41.834361025969926,10227927.181195242
2458915.619,13.81742027,0.1879756195,39.17706453542113,11086890.346124355
2458957.01,13.43728119,0.3181316872,55.6016300755466,9834387.692846468
2458962.999,13.9526351,0.317108821,34.58963346798085,9843656.981833473
2458980.942,13.7047842,0.3560607712,43.45965956355954,9496765.002553169
2458992.932,13.58875123,0.2796614198,48.36147164282277,10189090.790858118
2459009.876,13.57629506,0.3092566151,48.91949622447082,9915105.82778136
2459014.867,13.64481989,0.3420152538,45.92741943384756,9620417.03108598
2459017.861,13.85058751,0.3412132599,37.99837251373895,9627525.908940423
2459089.013,12.70903426,0.05040304407,108.73924067440501,12584581.63623809
2459093.004,12.74126369,0.07339088629,105.55881932669672,12320934.40585179
2459094.997,12.65835929,0.06812185469,113.93477106002258,12380872.697581386
2459102.976,12.75528009,0.1507524219,104.20485749200222,11473582.195823856
2459104.977,12.63152879,0.08952884186,116.78538156016876,12139155.180793285
2459107.968,12.55324777,0.0566721322,125.51652065236675,12512127.092957277
2459109.961,12.58822981,0.09604415427,121.53687796125735,12066528.369379662
2459111.955,12.5394413,0.06434618268,127.12280876619218,12424002.408950843
2459113.951,12.41680171,0.05774869212,142.3243850487161,12499726.862970587
2459115.943,12.51985531,0.07018277007,129.43683231940724,12357393.947093409
2459119.931,12.41931325,0.04265899625,141.99553880594985,12674662.43295857
2459121.924,12.56277602,0.09022426226,124.41982667319503,12131382.470281051
2459123.918,12.47458531,0.08146051522,134.9478208744388,12229699.723541297
2459125.911,12.51212305,0.06611450705,130.3619295369555,12403784.0677081
2459127.909,12.41860302,0.3102717557,142.08845500734708,9905839.744074097
2459129.902,12.50695837,0.06187408148,130.9835183984914,12452322.71657123
2459133.89,12.53063135,0.06573494349,128.15851307990314,12408121.076508986
